path,before,after,saved_pct,action
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2022)/Intro to Quantum Noise - Main Lecture - Intro to Quantum Noise (Qiskit Global Summer School 2022) (Minev).pdf",10418512,7855330,24.6,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2022)/Intro to Quantum Noise - Note - Incoherent Noise (Qiskit Global Summer School 2022) (Minev).pdf",276107,244225,11.5,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2022)/Intro to Quantum Noise - Note - Measurement (Qiskit Global Summer School 2022) (Minev).pdf",1172267,1096947,6.4,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2022)/Intro to Quantum Noise - Note - Measurement Noise (Qiskit Global Summer School 2022) (Minev).pdf",501674,465739,7.2,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2023)/Intro to Quantum Noise - Bonus - Cheat Sheet T11_7 - Pictorial Digital Quanutm Circuits (Qiskit Global Summer School 2023, Minev).pdf",46030,39515,14.2,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2023)/Intro to Quantum Noise - Bonus - Coherent ZZ Error (Qiskit Global Summer School 2023, Minev).pdf",461909,412317,10.7,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2023)/Intro to Quantum Noise - Bonus - Estimating Bitstrings T21 (Qiskit Global Summer School 2023, Minev).pdf",138559,122433,11.6,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Quantum Noise (Qiskit Global Summer School 2023)/Intro to Quantum Noise - Main Lecture - Intro to Quantum Noise (Qiskit Global Summer School 2023, Minev).pdf",14652522,12061578,17.7,compress
"content - educational/- Quantum Computational Experiments - Noise, Mitigation, and Scale/Intro to Real Quantum Computers and Noise (Minev, Summer Lecture Vanderbuilt 2022).pdf",9409813,6196663,34.1,compress
"content - educational/- Quantum Hardware - Superconducting Qubits/Superconducting Qubits 101 - Part I (Minev, Flagship Quantum Device Workshop, Beginner, 2025).pdf",15656794,4493550,71.3,compress
"content - educational/- Quantum Hardware - Superconducting Qubits/Superconducting Qubits 101 - Part II (Minev, Flagship Quantum Device Workshop, Beginner, 2025).pdf",11518633,3819020,66.8,compress
"content - educational/- Quantum Hardware - Superconducting Qubits/Superconducting Qubits 101 - cQED Quantum Hardware (Minev, CEC ICMC, 2021).pdf",18748028,12967390,30.8,compress
"content - educational/- Quantum Hardware - Superconducting Qubits/Superconducting Qubits 101 - cQED Quantum Hardware (Minev, QIQT Summer School, 2021).pdf",11956988,7689449,35.7,compress
"content - educational/- Quantum Hardware - Superconducting Qubits/Superconducting Qubits 101 - cQED Quantum Hardware (Qiskit Global Summer School, 2020)/Superconducting Qubits 101 - Quantum Hardware cQED - Day 1 (Qiskit Global Summer School 2020, Minev).pdf",6979052,4621953,33.8,compress
"content - educational/- Quantum Hardware - Superconducting Qubits/Superconducting Qubits 101 - cQED Quantum Hardware (Qiskit Global Summer School, 2020)/Superconducting Qubits 101 - Quantum Hardware cQED - Day 2 (Qiskit Global Summer School 2020, Minev).pdf",7043681,4838708,31.3,compress
"content - educational/Intro to Pauli Twirling (Tutorial)/Intro to Pauli Twirling, Minev - Part I (Tutorial).pdf",2745766,2047739,25.4,compress
"content - educational/Intro to Pauli Twirling (Tutorial)/Intro to Pauli Twirling, Minev - Part II (Tutorial).pdf",2433269,1922187,21.0,compress
"content - educational/Intro to Pauli Twirling (Tutorial)/Intro to Pauli Twirling, Minev - Part III (Tutorial).pdf",1670857,1456803,12.8,compress
"content - educational/Intro to Pauli Twirling (Tutorial)/Intro to Pauli Twirling, Minev - Part IV (Tutorial).pdf",2684492,1890089,29.6,compress
content - tech notes/T11.7 Pictorial - Digital quantum circuits (Minev).pdf,485532,235210,51.6,compress
content - tech notes/T11.9 Concentration inequalities and tail bounds (Minev).pdf,276797,82020,70.4,compress
content - tech notes/T21 Estimating observables from sampled bit strings (Minev).pdf,559636,155428,72.2,compress
content - tech notes/T22 Bound sum of operators ala Watrous (Minev).pdf,731627,122398,83.3,compress
content - tech notes/T23 PEC (Probaiblity error cancelation) notation and notes (Minev).pdf,315889,76091,75.9,compress
content - tech notes/T25 Random sampling and twirling of states vs true mixed states (Minev).pdf,377570,138747,63.3,compress
content - tech notes/T26 Many-Body Physics - Exploring Spin Models for Quantum Computing Scientists (Minev).pdf,843991,248532,70.6,compress
content - tech notes/T27 Simple noise models and gate fidelity (Minev).pdf,586715,157411,73.2,compress
